filename,emotion,pixels
im483.png,happy,[228 228 228 ...  26  26  26]
im3902.png,happy,[56 56 56 ... 68 68 68]
im1167.png,happy,[255 255 255 ...  60  60  60]
im2831.png,happy,[ 54  54  54 ... 119 119 119]
im4614.png,happy,[ 99  99  99 ... 255 255 255]
im1137.png,happy,[229 229 229 ... 214 214 214]
im4929.png,happy,[192 192 192 ... 209 209 209]
im5605.png,happy,[192 192 192 ...  70  70  70]
im3892.png,happy,[85 85 85 ... 58 58 58]
im4099.png,happy,[89 89 89 ... 40 40 40]
im7050.png,happy,[170 170 170 ... 249 249 249]
im3042.png,happy,[202 202 202 ... 109 109 109]
im1774.png,happy,[125 125 125 ... 204 204 204]
im1516.png,happy,[ 47  47  47 ... 147 147 147]
im4786.png,happy,[106 106 106 ... 150 150 150]
im5558.png,happy,[ 55  55  55 ... 155 155 155]
im6309.png,happy,[121 121 121 ...  48  48  48]
im5305.png,happy,[189 189 189 ... 117 117 117]
im6928.png,happy,[ 39  39  39 ... 214 214 214]
im2285.png,happy,[39 39 39 ...  3  3  3]
im6704.png,happy,[86 86 86 ... 24 24 24]
im3209.png,happy,[217 217 217 ... 186 186 186]
im1972.png,happy,[180 180 180 ...  14  14  14]
im5275.png,happy,[ 48  48  48 ... 255 255 255]
im4277.png,happy,[28 28 28 ... 75 75 75]
im6269.png,happy,[169 169 169 ... 251 251 251]
im6790.png,happy,[ 38  38  38 ... 148 148 148]
im3623.png,happy,[155 155 155 ...  65  65  65]
im674.png,happy,[71 71 71 ... 48 48 48]
im5189.png,happy,[255 255 255 ...  29  29  29]
im5456.png,happy,[ 23  23  23 ... 140 140 140]
im4789.png,happy,[108 108 108 ... 124 124 124]
im3979.png,happy,[130 130 130 ... 169 169 169]
im843.png,happy,[ 49  49  49 ... 177 177 177]
im6440.png,happy,[81 81 81 ... 61 61 61]
im3720.png,happy,[168 168 168 ...  49  49  49]
im3496.png,happy,[47 47 47 ... 34 34 34]
im1792.png,happy,[30 30 30 ... 35 35 35]
im3100.png,happy,[158 158 158 ...  95  95  95]
im5724.png,happy,[ 57  57  57 ... 131 131 131]
im5861.png,happy,[ 43  43  43 ... 149 149 149]
im2762.png,happy,[ 97  97  97 ... 255 255 255]
im3876.png,happy,[144 144 144 ...   3   3   3]
im1770.png,happy,[253 253 253 ... 254 254 254]
im1845.png,happy,[162 162 162 ... 244 244 244]
im4637.png,happy,[35 35 35 ... 80 80 80]
im2724.png,happy,[255 255 255 ...  36  36  36]
im1219.png,happy,[133 133 133 ... 129 129 129]
im4849.png,happy,[22 22 22 ... 21 21 21]
im3974.png,happy,[105 105 105 ... 102 102 102]
im6794.png,happy,[ 8  8  8 ... 69 69 69]
im1782.png,happy,[210 210 210 ... 150 150 150]
im3571.png,happy,[225 225 225 ... 113 113 113]
im1132.png,happy,[109 109 109 ... 254 254 254]
im2100.png,happy,[87 87 87 ... 80 80 80]
im4452.png,happy,[71 71 71 ... 44 44 44]
im1052.png,happy,[255 255 255 ... 144 144 144]
im2042.png,happy,[165 165 165 ...   9   9   9]
im2388.png,happy,[5 5 5 ... 4 4 4]
im6454.png,happy,[255 255 255 ... 226 226 226]
im1169.png,happy,[  8   8   8 ... 128 128 128]
im702.png,happy,[199 199 199 ... 133 133 133]
im2962.png,happy,[164 164 164 ... 226 226 226]
im2701.png,happy,[255 255 255 ...  24  24  24]
im4216.png,happy,[ 80  80  80 ... 202 202 202]
im2685.png,happy,[129 129 129 ...  87  87  87]
im5247.png,happy,[33 33 33 ...  5  5  5]
im5398.png,happy,[191 191 191 ...   6   6   6]
im6113.png,happy,[109 109 109 ...  97  97  97]
im3866.png,happy,[49 49 49 ... 66 66 66]
im5301.png,happy,[156 156 156 ... 111 111 111]
im3760.png,happy,[137 137 137 ...  56  56  56]
im1779.png,happy,[10 10 10 ... 13 13 13]
im141.png,happy,[40 40 40 ... 76 76 76]
im6914.png,happy,[ 55  55  55 ... 143 143 143]
im6525.png,happy,[ 44  44  44 ... 199 199 199]
im4537.png,happy,[166 166 166 ... 227 227 227]
im5108.png,happy,[255 255 255 ... 203 203 203]
im1234.png,happy,[ 89  89  89 ... 103 103 103]
im3501.png,happy,[173 173 173 ... 120 120 120]
im2332.png,happy,[228 228 228 ... 166 166 166]
im721.png,happy,[144 144 144 ... 115 115 115]
im5703.png,happy,[197 197 197 ...  12  12  12]
im3406.png,happy,[28 28 28 ... 78 78 78]
im6149.png,happy,[69 69 69 ... 69 69 69]
im4959.png,happy,[255 255 255 ... 252 252 252]
im3471.png,happy,[27 27 27 ... 17 17 17]
im1753.png,happy,[217 217 217 ...  30  30  30]
im3810.png,happy,[201 201 201 ... 249 249 249]
im5173.png,happy,[98 98 98 ... 88 88 88]
im3273.png,happy,[189 189 189 ... 127 127 127]
im6565.png,happy,[163 163 163 ... 147 147 147]
